bigram phrase,frequency
but they,6
i'd like,6
to turn,6
key to,6
as you,6
ought to,6
do nothing,6
they can,6
nine days,6
much as,6
have 67,6
too much,6
that president,6
for our,6
to stay,6
women in,6
with iran,6
hill that,6
bed with,6
to radical,6
only way,6
around and,6
us department,6
to call,6
what he,6
the republicans,6
the purpose,6
criminal investigations,6
finally secure,6
into law,6
florida and,6
by their,6
then republican,6
i agree,6
difference between,6
designed to,6
who want,6
a bunch,6
are they,6
country in,6
sure the,6
how that,6
president willing,6
of felonies,6
have no,6
said we,6
grew up,6
their health,6
special interests,6
together as,6
friend and,6
president and,6
know for,6
law in,6
gonna do,6
tonight is,6
you might,6
corker cardin,6
multiple criminal,6
standing together,6
means that,6
and even,6
reason is,6
jimmy carter,6
reason the,6
vote that,6
economic policies,6
last week,6
in particular,6
the corruption,6
an iranian,6
same countries,6
pretty sure,6
and became,6
we just,6
rights are,6
cannot stop,6
up just,6
get 67,6
give a,6
whole life,6
i got,6
we all,6
countries russia,6
said he,6
freedom in,6
a fight,6
make a,6
turn this,6
the answer,6
in prayer,6
elected us,6
anniversary of,6
the things,6
will honor,6
washington wants,6
president the,6
well the,6
was at,6
two and,6
back and,6
of republicans,6
are at,6
the reality,6
this past,6
than a,6
refused to,6
you stood,6
to hear,6
principles and,6
a disaster,6
our national,6
cents an,6
end sanctuary,6
question of,6
and defend,6
stakes are,6
its name,6
say in,6
undermine our,6
as one,6
speak to,6
terrorists and,6
recent weeks,6
today is,6
i i,6
can get,6
be able,6
we're here,6
a lawsuit,6
me that,6
al assad,6
i just,6
republican side,6
turn around,6
corruption of,6
i stand,6
get the,6
that leadership,6
must pass,6
where were,6
make sure,6
2nd amendment,6
say if,6
than that,6
a good,6
the business,6
why because,6
justice should,6
our rights,6
your children,6
to jerusalem,6
time work,6
the folks,6
you may,6
a catastrophic,6
much like,6
been higher,6
the money,6
security interests,6
is so,6
for them,6
obamacare the,6
are these,6
or your,6
is more,6
has to,6
move on,6
to life,6
bust the,6
were always,6
openly laughing,6
and grandchildren,6
days in,6
ask every,6
that comes,6
justice away,6
the enemy,6
and marines,6
a better,6
thrown in,6
didn't do,6
three million,6
president on,6
ends today,6
of government,6
courageous conservatives,6
i barack,6
the incredible,6
happened in,6
terror attack,6
at least,6
and john,6
protect the,6
sadly the,5
york times,5
that decision,5
debate in,5
our soldiers,5
from here,5
make it,5
life to,5
constitution but,5
our nation,5
and stand,5
us we,5
rules of,5
a small,5
so how,5
street in,5
the side,5
authority to,5
you do,5
hundred thousand,5
made the,5
w bush,5
should ask,5
illegal aliens,5
people all,5
democrats you,5
to each,5
in richmond,5
us are,5
only we,5
be allowed,5
wage jihad,5
taking the,5
hundred miles,5
come together,5
came back,5
deal if,5
what a,5
i told,5
the opportunity,5
leading financier,5
in place,5
lose and,5
democrats now,5
a speech,5
a nation,5
that make,5
right of,5
analogy gives,5
there s,5
with so,5
iran will,5
where they,5
a democrat,5
my whole,5
who says,5
stagnation and,5
country safe,5
what we're,5
a grassroots,5
a virtual,5
sailors and,5
then things,5
obamacare we,5
polls and,5
when will,5
a legal,5
it's worth,5
of engagement,5
will hear,5
and mocking,5
campaign trail,5
year ago,5
stand in,5
happy to,5
six months,5
stage with,5
iran openly,5
imagine it,5
high paying,5
will find,5
i'm so,5
bipartisan corruption,5
000 contributions,5
past couple,5
victory for,5
the revolutionary,5
iran from,5
because what,5
it funds,5
say well,5
said no,5
i'm going,5
second thing,5
that no,5
a pretty,5
way through,5
people the,5
to develop,5
republican senate,5
lynch the,5
states supreme,5
we run,5
are created,5
deal and,5
and airmen,5
here illegally,5
together to,5
dollars you,5
ask each,5
you very,5
and sailors,5
campaign has,5
fund this,5
can bring,5
says you,5
new president,5
have such,5
are going,5
this year,5
again when,5
because you,5
it can,5
went on,5
bind the,5
or give,5
come and,5
patrick henry,5
would you,5
support a,5
hope for,5
by its,5
that analogy,5
true in,5
the terms,5
why did,5
optimism because,5
struggling to,5
spend their,5
the speaker,5
an ally,5
manifestation of,5
not that,5
people in,5
they keep,5
and ask,5
legal immigration,5
are one,5
and now,5
together we,5
the fourth,5
of revival,5
washington establishment,5
rebuild our,5
one there,5
got an,5
businesses and,5
that had,5
his own,5
it by,5
house it,5
nation in,5
them you,5
campaign is,5
would see,5
to continue,5
to help,5
single mom,5
americans will,5
great great,5
bring back,5
immigration system,5
when this,5
gun control,5
not been,5
from god,5
states has,5
millions who,5
