trigram phrase,frequency
know it's amazing,14
to take the,14
the south china,14
i get it,14
if we have,14
business people in,14
know what they,14
i want the,14
by the people,14
the most sought,14
militaristic person in,14
i just got,14
up a lot,14
i love to,14
of it you,14
that's what you,14
how could you,14
not as rich,14
i was on,14
going to end,14
let people come,14
person in this,14
we can make,14
but i'm gonna,14
so strong so,14
these other guys,14
it was all,14
into the united,14
to help people,14
to keep it,14
in a lot,14
don't know maybe,14
it doesn't matter,14
with china and,14
you're not gonna,14
so i don't,14
and no action,14
wanted to give,14
you know about,14
time i go,14
one thing they,14
a nice guy,14
the way it,14
and my wife,14
up in the,14
tell you something,14
that we can,14
talked about illegal,14
the drug companies,14
to do the,14
they can't do,14
and fifty thousand,14
love it i,14
a group of,14
no matter what,14
you wonder why,14
to do anything,14
want you to,14
it has to,14
so nice to,14
know what happened,14
of you know,14
it comes to,14
had twenty thousand,14
to do is,14
what i did,14
gonna win with,14
is you know,14
and i like,14
i love that,14
we can't keep,14
he said to,14
we have great,14
and billions of,14
listen to this,14
people a lot,14
i'm the most,14
if you want,14
in new york,14
down the escalator,14
she said you,14
and that's what's,14
but they have,14
very little debt,14
there you know,14
we make a,14
think you know,14
i will find,14
have a friend,14
one or two,14
going to go,14
i wouldn't be,14
repeal and replace,14
give it to,14
been saying for,14
i'm not talking,14
i think you,14
gonna play with,14
lot of different,14
the lobbyists and,14
anything like it,14
but if i,14
a free trader,14
for the wall,14
as rich as,14
up to my,14
the border patrol,14
that god ever,14
drugs drugs drugs,14
what happens so,14
it is i,14
love in the,14
gonna happen and,14
so much and,14
you know what's,14
it could be,14
me a favor,14
they take our,14
don't say that,14
that want to,14
three or four,14
we gave them,14
years i've been,14
over the years,14
i went up,14
leave the race,14
this is like,14
we had twenty,14
is this is,14
they did a,14
would love to,14
you see it,14
we had to,14
i said take,14
have 28 000,14
will say this,14
it's not good,14
environmental impact statement,14
top of the,14
i have no,14
made in america,14
so many other,14
was a traitor,14
then they said,14
know that i,14
to come up,14
don't know the,14
can have a,14
i dont wanna,14
a country we,14
the debate and,14
in all fairness,14
last couple of,14
the one that,14
to vote for,14
did you know,14
the world in,14
you one thing,14
have the strength,14
you know there's,14
the most beautiful,14
the reason is,14
a chance to,14
i'm not a,14
do me a,14
you see that,14
and in the,14
the biggest selling,14
they talked about,14
as opposed to,14
i mean it,14
now in the,14
is the worst,14
and thank you,14
believe me they,14
the african american,14
to get them,14
it will be,14
we will build,14
this we have,14
don't want their,14
came up with,14
we spend the,14
give a damn,12
i don't believe,12
the general services,12
and when they,12
what we're going,12
right now in,12
and they are,12
all talk no,12
when it comes,12
we have right,12
they say they,12
got to be,12
said it was,12
and i go,12
said he was,12
i tell the,12
love you too,12
i'm not sure,12
was up to,12
give me a,12
these people and,12
for the first,12
very nice to,12
will not be,12
i'm running against,12
greatest jobs president,12
to be built,12
had a great,12
it's almost like,12
comes in third,12
i wrote about,12
i got a,12
of them and,12
strong and so,12
is the first,12
going to hell,12
but then i,12
know some of,12
ok and i,12
men and women,12
you leave the,12
put it in,12
new hampshire you,12
that are with,12
make a lot,12
i won't say,12
because i know,12
we will make,12
and look at,12
that you have,12
take over the,12
want to just,12
years but i,12
was the last,12
all the way,12
brought it up,12
new hampshire and,12
building in san,12
i come in,12
because that's the,12
to hear it,12
is so great,12
look at some,12
tell you it's,12
out there and,12
and who is,12
give them a,12
do it because,12
it was up,12
doing it and,12
have to stop,12
think general george,12
and we put,12
what they did,12
it but we,12
but you look,12
people to come,12
the things i,12
and under budget,12
been a great,12
the last couple,12
that kind of,12
i gave up,12
it and then,12
most militaristic person,12
things that are,12
how about this,12
what i've been,12
right and i,12
me i don't,12
i couldn't care,12
this country is,12
would have never,12
be allowed to,12
you know one,12
hard to get,12
it from the,12
two million dollars,12
these guys are,12
but i love,12
thank you for,12
i am going,12
can make a,12
and you go,12
make great deals,12
they wouldn't be,12
him i said,12
i signed contract,12
use them we,12
great job and,12
the rest of,12
what we want,12
what are you,12
we have something,12
budget and ahead,12
the deal and,12
i promise i,12
10 000 people,12
give you the,12
where the hell,12
we have tremendous,12
to do things,12
of money that,12
back from china,12
i'm self funding,12
i do i,12
because a lot,12
solve a problem,12
what do we,12
call you back,12
when they have,12
i believe in,12
got to know,12
i got to,12
you right now,12
there and they,12
they say you,12
don't get it,12
you know like,12
i said that,12
people that know,12
have right now,12
know what it,12
your money i,12
don't have it,12
know the ones,12
to have it,12
want to put,12
it one of,12
we gotta get,12
for the people,12
some people say,12
and you don't,12
and i really,12
we get rid,12
find out what's,12
of millions of,12
been going on,12
they get a,12
country so strong,12
called me up,12
just to finish,12
that shouldn't be,12
play with us,12
thank you everybody,12
with it and,12
the entire world,12
we need smart,12
in the old,12
they say we,12
you don't need,12
they said the,12
to go out,12
and we get,12
million dollars for,12
did you hear,12
that's what they,12
along with everybody,12
a problem we,12
it they said,12
shouldn't be allowed,12
within 48 hours,12
people this is,12
lot of power,12
why are we,12
know why because,12
tell you right,12
you can see,12
say it all,12
me you know,12
three years ago,12
have a deal,12
in a waiting,12
to me they,12
talk no action,12
one in the,12
i'm the one,12
was like a,12
gonna come in,12
believe me we're,12
i think that's,12
but it's really,12
what happened in,12
we can't let,12
gonna get the,12
be talking about,12
so we need,12
good at this,12
why would you,12
and the people,12
have to rebuild,12
think it was,12
going on with,12
very good but,12
out what's going,12
down the road,12
the bad guys,12
a great company,12
the only thing,12
he would have,12
if i would,12
again thank you,12
am going to,12
if we don't,12
on television you,12
couple of weeks,12
it has been,12
anything about it,12
they're making a,12
to my wife,12
come up and,12
to help us,12
we have and,12
don't do that,12
he said how,12
of them are,12
we can't afford,12
happened and i,12
they gonna say,12
they are so,12
they said we,12
like the people,12
i told the,12
would you do,12
lot of great,12
right now but,12
but i was,12
to see you,12
right and then,12
had a gun,12
gonna win we're,12
well we have,12
what is going,12
don't worry about,12
and it took,12
know we had,12
the border and,12
think i think,12
he came back,12
gotta take care,12
great again i,12
won the debate,12
was a little,12
hundred and twenty,12
to go in,12
that have been,12
great again we're,12
it i'm not,12
do it you,12
see what's happening,12
and they're gonna,12
you got to,12
going to say,12
when i said,12
cheapest thing we,12
and i took,12
you see these,12
to do business,12
we have this,12
you do it,12
it was an,12
put in a,12
people these are,12
don't want anything,12
to say it,12
the polls and,12
go through the,12
that don't have,12
nation in the,12
what i don't,12
don't know you,12
that i could,12
get up and,12
plant to mexico,12
out we don't,12
for the last,12
weeks ago i,12
gonna be so,12
going to work,12
tell you one,12
i don't do,12
want to bring,12
said you can't,12
what you know,12
and they gonna,12
a good thing,12
i never thought,12
way ahead of,12
give a lot,12
win with the,12
much more than,12
that they have,12
and they do,12
to see the,12
ever before i,12
and we all,12
you know there,12
but if they,12
we get bergdahl,12
say you know,12
he didn't do,12
much bigger than,12
have to bring,12
killed by an,12
i put in,12
he was on,12
i say you,12
don't give a,12
do i get,12
but believe me,12
a waiting room,12
come back to,12
and i had,12
which is the,12
in one of,12
couldn't get it,12
a little while,12
over the country,12
it is and,12
want me to,12
so they get,12
they are going,12
they end up,12
in los angeles,12
back and they,12
they do it,12
we went to,12
gonna get rid,12
time we have,12
kind of money,12
you had a,12
the greatest jobs,12
people that were,12
what he said,12
then all of,12
what happened and,12
he's not as,12
and i should,12
anybody ever heard,12
a lot i,12
is so bad,12
in the way,12
they didn't have,12
all of us,12
in other words,12
to the wounded,12
the other candidates,12
jobs president that,12
taking care of,12
but you see,12
but we're going,12
if we can,12
allowed to run,12
we can be,12
is that the,12
it and we're,12
tremendous numbers of,12
you can't solve,12
the federal government,12
tremendous cash flow,12
had a horrible,12
i mean it's,12
stronger than ever,12
we need somebody,12
is what we,12
do that and,12
president that god,12
i didn't want,12
be one of,12
in one day,12
they called me,12
is that i,12
of mass destruction,12
hard to believe,12
you get the,12
it they don't,12
weapons of mass,12
at this stuff,12
a half a,12
don't think it's,12
and if they,12
it for a,12
the head and,12
he made a,12
people were killed,12
friends of mine,12
know and i,12
we used to,12
look at those,12
part of the,12
the cheapest thing,12
to rebuild our,12
do that you,12
you gotta get,12
to be done,12
so when they,12
made a mistake,12
we have with,12
i'll do it,12
have to build,12
even know who,12
and it doesn't,12
the most militaristic,12
people that really,12
gonna build it,12
there's no way,12
with all of,12
i like it,12
but we can't,12
when i get,12
the deal we,12
it when i,12
for president i,12
a bad thing,12
people that i,12
billion dollar website,12
know they don't,12
i don't give,12
you a hundred,12
to have that,12
but i just,12
spent a lot,12
on the budget,12
they should have,12
